,Trade ID,Trade Time,Security,Bond Type,Bond Rating,Industry,Issuer,Notional ($),Price,Yield (%),Buy/Sell,Counterparty,Dealer,Execution Method,Trade Volume,Transaction Cost ($)
0,100001,2024-01-01 09:30:00,US Corp Bond,IG,A,Utilities,Vanguard,74848582,106.64,3.41,Buy,Wellington,Barclays,RFQ,118962658,83587.57
1,100002,2024-01-01 09:31:00,US Corp Bond,EM,A,Technology,JPMorgan,41311319,102.02,3.1,Sell,T. Rowe Price,Morgan Stanley,Voice,56346908,9427.56
2,100003,2024-01-01 09:32:00,US Corp Bond,HY,AA,Consumer Goods,Microsoft,32944454,94.98,10.59,Sell,Fidelity,JP Morgan,RFQ,45796595,26658.11
3,100004,2024-01-01 09:33:00,US Corp Bond,IG,BBB,Healthcare,Vanguard,34559207,109.73,5.69,Sell,Fidelity,Morgan Stanley,Voice,56165300,68534.35
4,100005,2024-01-01 09:34:00,US Corp Bond,IG,A,Healthcare,Citi,61158708,97.58,5.88,Buy,BlackRock,JP Morgan,Voice,118267406,23196.95
5,100006,2024-01-01 09:35:00,US Corp Bond,IG,BB,Energy,Amazon,34055777,106.9,4.44,Buy,T. Rowe Price,Goldman Sachs,RFQ,69927597,32317.32
6,100007,2024-01-01 09:36:00,US Corp Bond,IG,AAA,Utilities,Tesla,90045516,109.66,3.75,Buy,Vanguard,Goldman Sachs,RFQ,101790446,149100.69
7,100008,2024-01-01 09:37:00,US Corp Bond,HY,BBB,Financials,Microsoft,33692965,85.32,8.16,Buy,Wellington,Barclays,RFQ,83345994,41367.8
8,100009,2024-01-01 09:38:00,US Corp Bond,HY,BBB,Energy,Vanguard,2892839,80.67,6.69,Buy,Morgan Stanley,Morgan Stanley,RFQ,3347156,4324.94
9,100010,2024-01-01 09:39:00,US Corp Bond,HY,BBB,Financials,JPMorgan,39268053,93.42,10.47,Sell,Fidelity,JP Morgan,RFQ,97079229,131910.99
10,100011,2024-01-01 09:40:00,US Corp Bond,IG,BB,Utilities,Goldman Sachs,89787307,106.9,5.61,Buy,Wellington,JP Morgan,RFQ,132565362,139798.08
11,100012,2024-01-01 09:41:00,US Corp Bond,EM,BBB,Energy,Microsoft,14310281,101.74,3.93,Sell,Vanguard,Morgan Stanley,RFQ,33617393,25688.58
12,100013,2024-01-01 09:42:00,US Corp Bond,HY,B,Energy,Citi,43360800,91.61,6.37,Sell,Morgan Stanley,Goldman Sachs,RFQ,101126928,145393.75
13,100014,2024-01-01 09:43:00,US Corp Bond,IG,A,Healthcare,JPMorgan,6582428,105.83,3.33,Sell,Fidelity,Goldman Sachs,Voice,11701688,16954.62
14,100015,2024-01-01 09:44:00,US Corp Bond,IG,A,Financials,BlackRock,22862176,96.87,4.83,Buy,T. Rowe Price,JP Morgan,RFQ,49189912,48731.93
15,100016,2024-01-01 09:45:00,US Corp Bond,IG,AAA,Technology,BlackRock,48535007,108.9,5.95,Buy,Vanguard,Barclays,RFQ,98546589,112710.12
16,100017,2024-01-01 09:46:00,US Corp Bond,IG,AAA,Technology,Vanguard,36657398,109.81,4.34,Buy,Vanguard,Goldman Sachs,RFQ,82503971,109972.2
17,100018,2024-01-01 09:47:00,US Corp Bond,IG,AA,Energy,Amazon,21245250,99.96,3.79,Sell,T. Rowe Price,Citi,RFQ,39908843,9978.15
18,100019,2024-01-01 09:48:00,US Corp Bond,IG,AA,Utilities,Amazon,53616331,105.73,5.48,Sell,Morgan Stanley,JP Morgan,RFQ,84241824,75081.67
19,100020,2024-01-01 09:49:00,US Corp Bond,IG,AA,Energy,JPMorgan,39191483,101.32,5.14,Buy,Morgan Stanley,Morgan Stanley,Voice,66018684,86417.18
20,100021,2024-01-01 09:50:00,US Corp Bond,HY,AA,Healthcare,JPMorgan,23496271,84.95,11.63,Buy,Fidelity,Morgan Stanley,RFQ,30430428,41945.2
21,100022,2024-01-01 09:51:00,US Corp Bond,IG,AAA,Financials,Tesla,57603424,109.38,3.78,Buy,Morgan Stanley,JP Morgan,RFQ,86506209,129715.71
